month,dayofmonth,hourofday,hour,mwh2123,mwh2120,mwh2137,mwh2059,mwh2141,mwh2142,mwh2129,mwh2158,mwh2130,mwh2146,mth2123,mth2120,mth2137,mth2059,mth2141,mth2142,mth2129,mth2158,mth2130,mth2146
6,27,17,66,14.877225,15.56205,16.17304167,15.33770833,13.5646,13.48225833,14.67033333,16.29496667,14.12975,15.74856667,35.92583333,35.7875,35.67416667,35.80583333,35.2125,35.40416667,35.87916667,35.82,35.26,35.81166667
6,27,18,67,14.88789167,15.59054167,16.19451667,15.38881667,13.5545,13.499875,14.69235,16.29911667,14.1307,15.77054167,35.85666667,35.81,35.54333333,35.83333333,35.35166667,35.45833333,35.9075,35.86083333,35.29166667,35.71916667
6,27,19,68,14.913825,15.63774167,16.246225,15.497925,13.579925,13.55395,14.76220833,16.344125,14.13481667,15.82618333,35.81916667,35.81333333,35.65333333,36.01583333,35.36416667,35.49666667,35.86666667,35.885,35.3975,35.74833333
6,27,20,69,14.93349167,15.66378333,16.27584167,15.54800833,13.58375,13.57738333,14.789975,16.37674167,14.13605833,15.88418333,35.85666667,36.00083333,35.7875,36.2325,35.28916667,35.4925,35.77833333,35.90666667,35.49666667,35.70166667
6,27,21,70,14.92390833,15.653925,16.26358333,15.53330833,13.57905,13.57066667,14.77618333,16.3671,14.13244167,15.88904167,35.82333333,35.98166667,35.74416667,36.2425,35.44,35.43166667,35.82833333,35.93333333,35.54666667,35.75166667
6,27,22,71,14.91473333,15.645875,16.24925833,15.52083333,13.57525,13.56415,14.76300833,16.35940833,14.129225,15.88660833,35.92166667,35.93166667,35.795,36.4125,35.57666667,35.45083333,35.7625,35.8725,35.59166667,35.83666667
6,27,23,72,14.90531667,15.63815833,16.24615833,15.50926667,13.57135833,13.55845,14.754225,16.3504,14.127375,15.890125,35.88416667,36.285,35.81416667,36.175,35.68,35.52333333,35.89,35.98333333,35.64,35.91
6,28,0,73,14.89816667,15.631275,16.23768333,15.497325,13.56736667,13.55239167,14.74403333,16.34260833,14.12461667,15.88730833,36.05916667,36.09666667,35.84083333,36.165,35.8025,35.71833333,35.95333333,36.04416667,35.6175,35.96166667
6,28,1,74,14.88915833,15.62424167,16.22984167,15.48338333,13.56481667,13.54834167,14.73513333,16.333925,14.12116667,15.88374167,35.91166667,36.03583333,35.72166667,36.1275,35.69666667,35.51333333,35.90583333,35.985,35.64,35.78
6,28,2,75,14.88378333,15.61855833,16.22314167,15.47755833,13.56256667,13.54285,14.72655,16.33018333,14.1145,15.87885833,35.80666667,36.00666667,35.61833333,35.98916667,35.68333333,35.45916667,36.04333333,35.81166667,35.51833333,35.705
6,28,3,76,14.878575,15.61348333,16.216825,15.468575,13.560825,13.5397,14.71911667,16.32480833,14.1216,15.872825,35.74416667,35.9725,35.61,36.04833333,35.6625,35.32416667,35.8625,35.8375,35.44833333,35.68666667
6,28,4,77,14.87224167,15.60704167,16.21053333,15.45905833,13.558,13.53475,14.71098333,16.31605833,14.12018333,15.835575,35.68666667,35.99666667,35.63333333,35.97666667,35.6625,35.46666667,35.8025,35.88,35.51,35.68583333
6,28,5,78,14.84645833,15.52908333,16.16380833,15.3505,13.5427,13.45121667,14.64121667,16.22148333,14.11579167,15.71300833,35.7,35.97916667,35.60666667,35.8075,35.59416667,35.46333333,35.80666667,35.87,35.55,35.6175
6,28,6,79,14.83979167,15.561975,16.13345,15.31435,13.55105,13.490725,14.61666667,16.28111667,14.11668333,15.78840833,35.71,35.9125,35.64916667,35.6025,35.53333333,35.46666667,35.81583333,35.85333333,35.51,35.67833333
6,28,7,80,14.84636667,15.60558333,16.15985,15.37934167,13.55445833,13.530875,14.64644167,16.326925,14.113675,15.82213333,35.71916667,36.00416667,35.64,35.43833333,35.45166667,35.4525,35.85666667,35.875,35.53,35.72166667
6,28,8,81,14.83679167,15.60174167,16.16863333,15.37851667,13.55804167,13.52844167,14.677775,16.33339167,14.11185,15.81186667,35.73583333,36.0475,35.68333333,35.35,35.4475,35.45333333,35.91833333,35.925,35.6025,35.76166667
6,28,9,82,14.86083333,15.61413333,16.19220833,15.381975,13.56104167,13.53905,14.70435833,16.34319167,14.11471667,15.83703333,35.7825,36.06166667,35.71,35.4225,35.485,35.4675,35.90583333,35.89166667,35.64833333,35.84583333
6,28,10,83,14.87751667,15.63720833,16.22136667,15.41445,13.56115833,13.56174167,14.740875,16.36780833,14.11748333,15.86006667,35.77666667,36.12333333,35.69666667,35.50166667,35.39416667,35.48916667,35.94666667,35.9025,35.62916667,35.8775
6,28,11,84,14.891475,15.657525,16.245825,15.46180833,13.57065833,13.58799167,14.773075,16.3933,14.11878333,15.88425833,35.83333333,36.09833333,35.69333333,35.35583333,35.31416667,35.41083333,35.92583333,35.83,35.6,35.83
6,28,12,85,14.91031667,15.679175,16.27370833,15.50720833,13.575675,13.60485833,14.80671667,16.41036667,14.11685833,15.90688333,35.88166667,36.145,35.60583333,35.37583333,35.24666667,35.45916667,36.00083333,36.02,35.47666667,35.84666667
6,28,13,86,14.91781667,15.68520833,16.28169167,15.54339167,13.5756,13.60955,14.82680833,16.41896667,14.119875,15.90728333,35.87083333,35.955,35.54333333,35.57333333,35.27666667,35.49,35.84,35.77583333,35.43416667,35.69416667
6,28,14,87,14.92035833,15.681225,16.29009167,15.5517,13.5756,13.607325,14.8299,16.41439167,14.11565833,15.90715833,35.80333333,35.75,35.53,35.665,35.27833333,35.33583333,35.72083333,35.70333333,35.36583333,35.66083333
6,28,15,88,14.92429167,15.67943333,16.30059167,15.56831667,13.57550833,13.60856667,14.82819167,16.40773333,14.1109,15.90131667,35.7925,35.7325,35.5575,35.785,35.15833333,35.535,35.7225,35.6725,35.3075,35.67083333
6,28,16,89,14.9238,15.67595833,16.30475833,15.590925,13.56754167,13.60430833,14.81354167,16.398,14.10546667,15.89441667,35.86583333,35.76166667,35.53,35.81666667,35.22666667,35.53666667,35.68,35.78916667,35.25,35.66083333
6,28,17,90,14.91481667,15.6762,16.306975,15.60818333,13.5665,13.60429167,14.79606667,16.39596667,14.09779167,15.88213333,35.8425,35.785,35.56,35.97916667,35.30583333,35.38666667,35.71333333,35.84666667,35.30916667,35.54416667
6,28,18,91,14.90551667,15.67694167,16.31253333,15.60505,13.57178333,13.60409167,14.79375,16.38563333,14.093525,15.88823333,35.6725,35.71416667,35.55916667,36.2425,35.31333333,35.41833333,35.70083333,35.83,35.36583333,35.5575
6,28,19,92,14.92816667,15.71484167,16.36188333,15.689325,13.57913333,13.640525,14.8337,16.406275,14.09724167,15.91364167,35.55666667,35.76083333,35.6375,36.27666667,35.33583333,35.42083333,35.7825,35.79166667,35.38583333,35.65833333
6,28,20,93,14.94930833,15.744,16.39323333,15.74076667,13.58439167,13.66520833,14.86296667,16.44583333,14.10044167,15.9763,35.51666667,35.9025,35.76916667,36.34833333,35.48416667,35.45083333,35.8025,35.91416667,35.42583333,35.7075
6,28,21,94,14.93455833,15.73300833,16.380875,15.72554167,13.57926667,13.65720833,14.84879167,16.43520833,14.09498333,15.99055,35.59166667,35.8975,35.81666667,36.29083333,35.40083333,35.46333333,35.79083333,35.91,35.34,35.77916667
6,28,22,95,14.92513333,15.72349167,16.37055,15.71229167,13.574625,13.65075,14.8363,16.425175,14.09225,15.98801667,35.5575,35.97666667,35.99333333,36.36666667,35.47583333,35.54666667,35.81416667,35.89166667,35.415,35.73583333
6,28,23,96,14.91710833,15.71546667,16.36065,15.69934167,13.57140833,13.64533333,14.82549167,16.418275,14.091025,15.9849,35.6925,35.9325,35.93666667,36.33333333,35.54,35.50583333,35.82,35.76583333,35.55083333,35.76166667
6,29,0,97,14.90855,15.7081,16.35223333,15.68798333,13.56808333,13.64005833,14.81515,16.41110833,14.0897,15.98480833,35.75,35.88833333,35.97083333,36.46166667,35.5225,35.5925,35.77416667,35.88333333,35.6375,35.78
6,29,1,98,14.90008333,15.70056667,16.34426667,15.67645833,13.56469167,13.63476667,14.80554167,16.40404167,14.08838333,15.96915833,35.87416667,35.8025,35.94666667,36.44916667,35.68833333,35.48916667,35.825,35.9,35.62833333,35.84
6,29,2,99,14.8926,15.69365833,16.33535,15.66601667,13.56215,13.63053333,14.79700833,16.397175,14.0872,15.974375,35.74416667,35.7225,35.64666667,36.2525,35.42916667,35.29083333,35.72166667,35.81916667,35.465,35.6
6,29,3,100,14.885625,15.68841667,16.330075,15.65606667,13.559625,13.62603333,14.78779167,16.39199167,14.087,15.96133333,35.59583333,35.80083333,35.70916667,36.00083333,35.4775,35.16916667,35.675,35.78833333,35.40666667,35.55583333
6,29,4,101,14.87894167,15.68169167,16.32303333,15.64551667,13.55739167,13.622075,14.778125,16.38230833,14.086,15.92043333,35.56666667,35.91833333,35.68666667,35.96666667,35.45916667,35.39,35.7325,35.8775,35.37333333,35.72916667
6,29,5,102,14.861275,15.60034167,16.28003333,15.5506,13.541075,13.54788333,14.70779167,16.284525,14.08345,15.79229167,35.53666667,35.94333333,35.6325,35.84,35.49166667,35.52333333,35.70583333,35.905,35.37333333,35.78416667
6,29,6,103,14.84421667,15.63726667,16.23438333,15.50620833,13.55150833,13.56774167,14.67904167,16.34546667,14.08444167,15.8581,35.625,35.96916667,35.66833333,35.62333333,35.52333333,35.5325,35.74666667,35.86,35.40916667,35.78583333
6,29,7,104,14.84366667,15.66803333,16.240875,15.544775,13.55475,13.596975,14.7034,16.38206667,14.081075,15.88476667,35.62916667,35.95833333,35.68666667,35.4625,35.46166667,35.48583333,35.73333333,35.88833333,35.48833333,35.73333333
6,29,8,105,14.84515833,15.667675,16.25143333,15.53915833,13.556575,13.59439167,14.729175,16.381575,14.08170833,15.88823333,35.68,35.9525,35.62916667,35.33416667,35.37583333,35.49333333,35.76333333,35.8225,35.475,35.735
6,29,9,106,14.86816667,15.68826667,16.28930833,15.55990833,13.56333333,13.61875833,14.7703,16.40773333,14.0852,15.911875,35.65833333,35.9725,35.59916667,35.3375,35.28166667,35.45083333,35.81,35.81333333,35.45916667,35.7175
6,29,10,107,14.88745833,15.71749167,16.31414167,15.60270833,13.57051667,13.6417,14.80854167,16.43226667,14.0907,15.94645833,35.68916667,36.04333333,35.60666667,35.27333333,35.19333333,35.42666667,35.76,35.83333333,35.43083333,35.69666667
6,29,11,108,14.90554167,15.73674167,16.34835,15.64215,13.57715,13.66814167,14.848625,16.45206667,14.09374167,15.98098333,35.745,35.99333333,35.62166667,35.22916667,35.15166667,35.37,35.73583333,35.82166667,35.41833333,35.71583333
6,29,12,109,14.91351667,15.750325,16.387975,15.69216667,13.57635833,13.6861,14.885,16.48058333,14.09163333,16.00075833,35.7,36.03333333,35.5425,35.25833333,34.98916667,35.3325,35.89333333,35.865,35.37666667,35.80083333
6,29,13,110,14.909975,15.75205833,16.39925,15.722525,13.57194167,13.67635,14.88644167,16.4747,14.08815,15.99183333,35.75833333,35.7975,35.4625,35.39666667,35.07083333,35.34083333,35.775,35.69333333,35.335,35.7375
